event_id,date,hour,lat,lon,area_ha,y_gt10ha,y_gt100ha,comuna,region,temporada,split
1,2014-11-16,11,-30.28583,-70.64361,15.0,1,0,Rio Hurtado,Coquimbo,2014 al 2015,train
2,2014-11-26,12,-30.69139,-71.08194,0.01,0,0,Ovalle,Coquimbo,2014 al 2015,train
3,2014-11-26,18,-30.63028,-71.40194,0.01,0,0,Ovalle,Coquimbo,2014 al 2015,train
4,2014-12-01,15,-29.92167,-71.23917,0.3,0,0,La Serena,Coquimbo,2014 al 2015,train
5,2014-12-01,17,-30.61889,-71.19806,0.01,0,0,Ovalle,Coquimbo,2014 al 2015,train
6,2014-12-02,13,-30.705,-71.43667,0.1,0,0,Ovalle,Coquimbo,2014 al 2015,train
7,2014-12-02,15,-30.61028,-71.22028,1.0,0,0,Ovalle,Coquimbo,2014 al 2015,train
8,2014-12-06,10,-30.63667,-71.33556,1.0,0,0,Ovalle,Coquimbo,2014 al 2015,train
9,2014-12-14,5,-30.61306,-71.56083,0.3,0,0,Ovalle,Coquimbo,2014 al 2015,train
10,2014-12-14,13,-30.65028,-71.28139,0.01,0,0,Ovalle,Coquimbo,2014 al 2015,train
11,2014-12-15,18,-29.92222,-71.22139,0.01,0,0,La Serena,Coquimbo,2014 al 2015,train
12,2014-12-23,14,-30.635,-71.24194,0.01,0,0,Ovalle,Coquimbo,2014 al 2015,train
13,2014-12-29,14,-31.75694,-71.06139,0.5,0,0,Salamanca,Coquimbo,2014 al 2015,train
14,2014-12-29,16,-29.96361,-71.32083,0.2,0,0,Coquimbo,Coquimbo,2014 al 2015,train
15,2014-12-30,14,-31.87611,-70.74194,3.0,0,0,Salamanca,Coquimbo,2014 al 2015,train
16,2014-12-31,21,-29.88111,-71.14333,1.0,0,0,La Serena,Coquimbo,2014 al 2015,train
17,2015-01-01,13,-29.94,-71.13278,0.3,0,0,La Serena,Coquimbo,2014 al 2015,train
18,2015-01-02,14,-29.92722,-71.16056,0.01,0,0,La Serena,Coquimbo,2014 al 2015,train
