clave,clave_hcfm,hcfm_pct,sombreado,clase_temperatura,temperatura_c,probabilidad_ignicion_pct,activa_umbral_70
2101,2000,<= 2,Expuesto,1,Menor a 0,84.4,True
2102,2000,<= 2,Expuesto,2,0 - 5,86.7,True
2103,2000,<= 2,Expuesto,3,5 - 10,89.1,True
2104,2000,<= 2,Expuesto,4,10 - 15,91.6,True
2105,2000,<= 2,Expuesto,5,15 - 20,94.2,True
2106,2000,<= 2,Expuesto,6,20 - 25,96.9,True
2107,2000,<= 2,Expuesto,7,25 - 30,99.7,True
2108,2000,<= 2,Expuesto,8,30 - 35,100.0,True
2109,2000,<= 2,Expuesto,9,Mayor a 35,100.0,True
2201,2000,<= 2,Sombreado,1,Menor a 0,79.6,True
2202,2000,<= 2,Sombreado,2,0 - 5,81.7,True
2203,2000,<= 2,Sombreado,3,5 - 10,83.9,True
2204,2000,<= 2,Sombreado,4,10 - 15,86.2,True
2205,2000,<= 2,Sombreado,5,15 - 20,88.6,True
2206,2000,<= 2,Sombreado,6,20 - 25,91.0,True
2207,2000,<= 2,Sombreado,7,25 - 30,93.6,True
2208,2000,<= 2,Sombreado,8,30 - 35,96.3,True
2209,2000,<= 2,Sombreado,9,Mayor a 35,99.0,True
3101,3000,2 - 3,Expuesto,1,Menor a 0,72.7,True
3102,3000,2 - 3,Expuesto,2,0 - 5,74.9,True
3103,3000,2 - 3,Expuesto,3,5 - 10,77.1,True
3104,3000,2 - 3,Expuesto,4,10 - 15,79.4,True
3105,3000,2 - 3,Expuesto,5,15 - 20,81.8,True
3106,3000,2 - 3,Expuesto,6,20 - 25,84.2,True
3107,3000,2 - 3,Expuesto,7,25 - 30,86.8,True
3108,3000,2 - 3,Expuesto,8,30 - 35,89.5,True
3109,3000,2 - 3,Expuesto,9,Mayor a 35,92.3,True
3201,3000,2 - 3,Sombreado,1,Menor a 0,68.3,False
3202,3000,2 - 3,Sombreado,2,0 - 5,70.3,True
3203,3000,2 - 3,Sombreado,3,5 - 10,72.3,True
3204,3000,2 - 3,Sombreado,4,10 - 15,74.4,True
3205,3000,2 - 3,Sombreado,5,15 - 20,76.6,True
3206,3000,2 - 3,Sombreado,6,20 - 25,78.8,True
3207,3000,2 - 3,Sombreado,7,25 - 30,81.2,True
3208,3000,2 - 3,Sombreado,8,30 - 35,83.7,True
3209,3000,2 - 3,Sombreado,9,Mayor a 35,86.2,True
4101,4000,3 - 4,Expuesto,1,Menor a 0,62.7,False
4102,4000,3 - 4,Expuesto,2,0 - 5,64.6,False
4103,4000,3 - 4,Expuesto,3,5 - 10,66.7,False
4104,4000,3 - 4,Expuesto,4,10 - 15,68.8,False
4105,4000,3 - 4,Expuesto,5,15 - 20,71.0,True
4106,4000,3 - 4,Expuesto,6,20 - 25,73.3,True
4107,4000,3 - 4,Expuesto,7,25 - 30,75.7,True
4108,4000,3 - 4,Expuesto,8,30 - 35,78.2,True
4109,4000,3 - 4,Expuesto,9,Mayor a 35,80.8,True
4201,4000,3 - 4,Sombreado,1,Menor a 0,58.6,False
4202,4000,3 - 4,Sombreado,2,0 - 5,60.4,False
4203,4000,3 - 4,Sombreado,3,5 - 10,62.2,False
4204,4000,3 - 4,Sombreado,4,10 - 15,64.2,False
4205,4000,3 - 4,Sombreado,5,15 - 20,66.2,False
4206,4000,3 - 4,Sombreado,6,20 - 25,68.3,False
4207,4000,3 - 4,Sombreado,7,25 - 30,70.5,True
4208,4000,3 - 4,Sombreado,8,30 - 35,72.8,True
4209,4000,3 - 4,Sombreado,9,Mayor a 35,75.1,True
5101,5000,4 - 5,Expuesto,1,Menor a 0,53.9,False
5102,5000,4 - 5,Expuesto,2,0 - 5,55.7,False
5103,5000,4 - 5,Expuesto,3,5 - 10,57.6,False
5104,5000,4 - 5,Expuesto,4,10 - 15,59.6,False
5105,5000,4 - 5,Expuesto,5,15 - 20,61.6,False
5106,5000,4 - 5,Expuesto,6,20 - 25,63.7,False
5107,5000,4 - 5,Expuesto,7,25 - 30,66.0,False
5108,5000,4 - 5,Expuesto,8,30 - 35,68.3,False
5109,5000,4 - 5,Expuesto,9,Mayor a 35,70.7,True
5201,5000,4 - 5,Sombreado,1,Menor a 0,50.2,False
5202,5000,4 - 5,Sombreado,2,0 - 5,51.9,False
5203,5000,4 - 5,Sombreado,3,5 - 10,53.6,False
5204,5000,4 - 5,Sombreado,4,10 - 15,55.3,False
5205,5000,4 - 5,Sombreado,5,15 - 20,57.2,False
5206,5000,4 - 5,Sombreado,6,20 - 25,59.1,False
5207,5000,4 - 5,Sombreado,7,25 - 30,61.1,False
5208,5000,4 - 5,Sombreado,8,30 - 35,63.3,False
5209,5000,4 - 5,Sombreado,9,Mayor a 35,65.5,False
6101,6000,5 - 6,Expuesto,1,Menor a 0,46.4,False
6102,6000,5 - 6,Expuesto,2,0 - 5,48.0,False
6103,6000,5 - 6,Expuesto,3,5 - 10,49.7,False
6104,6000,5 - 6,Expuesto,4,10 - 15,51.5,False
